Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type,Date
"Atlanta, GA","Miami, FL","$1,013.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Miami, FL","$1,215.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Milwaukee, WI","$1,768.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Milwaukee, WI","$1,859.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Milwaukee, WI","$2,044.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Milwaukee, WI","$2,324.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Minneapolis, MN","$2,149.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Minneapolis, MN","$2,261.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Minneapolis, MN","$2,485.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Minneapolis, MN","$2,825.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Omaha, NE","$1,985.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Omaha, NE","$2,090.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Omaha, NE","$2,296.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Omaha, NE","$2,611.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Orlando, FL",$468.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Orlando, FL",$492.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Orlando, FL",$541.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Orlando, FL",$616.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
