,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
157,"Philadelphia, PA",32573.0,33229.0,35365.0,36976.0,37045.0,34400.0,34207.0,35386.0,36836.0,39043.0,41233.0
158,"Phoenix, AZ",42353.0,46645.0,48061.0,50140.0,47085.0,42260.0,43960.0,44153.0,46601.0,47929.0,48452.0
159,"Pittsburgh, PA",30278.0,31779.0,32363.0,36709.0,37461.0,36196.0,35947.0,39884.0,42004.0,41074.0,41293.0
160,"Plano, TX",71560.0,77038.0,84492.0,85003.0,77140.0,79234.0,80184.0,81475.0,80448.0,81571.0,83769.0
161,"Pomona, CA",41805.0,47127.0,50678.0,49934.0,48973.0,45909.0,47229.0,46300.0,51379.0,46813.0,51266.0
162,"Port St. Lucie, FL",49296.0,52025.0,48952.0,50502.0,49331.0,44560.0,46916.0,47852.0,48562.0,47129.0,53222.0
163,"Portland, OR",42287.0,44273.0,47143.0,50979.0,50203.0,47185.0,47033.0,52158.0,55571.0,54624.0,60892.0
164,"Providence, RI",34202.0,32803.0,34185.0,36426.0,37619.0,37237.0,37856.0,33989.0,36378.0,37420.0,39015.0
165,"Provo, UT",31603.0,34211.0,38517.0,43549.0,35937.0,36949.0,36831.0,36972.0,38877.0,42113.0,46388.0
166,"Pueblo, CO",31261.0,30246.0,33650.0,37527.0,30270.0,34415.0,32742.0,34362.0,33784.0,34653.0,36267.0
167,"Raleigh, NC",48131.0,51123.0,51071.0,53825.0,51969.0,49931.0,52040.0,53653.0,55170.0,53475.0,56910.0
168,"Rancho Cucamonga, CA",71967.0,75429.0,80538.0,76979.0,73103.0,76640.0,70836.0,74118.0,82489.0,71742.0,80720.0
169,"Reno, NV",42214.0,45122.0,48304.0,51447.0,47856.0,42008.0,44846.0,43218.0,48740.0,45663.0,50451.0
170,"Richmond, VA",34396.0,35764.0,38461.0,36157.0,36928.0,39608.0,38926.0,38185.0,39193.0,43054.0,39906.0
171,"Riverside, CA",50416.0,52023.0,55999.0,56859.0,56552.0,53847.0,51331.0,52697.0,54300.0,58368.0,61279.0
172,"Rochester, NY",26650.0,27407.0,30927.0,29975.0,30553.0,27711.0,28963.0,30769.0,30158.0,29527.0,31946.0
173,"Rockford, IL",35356.0,34561.0,38689.0,38135.0,36990.0,36178.0,34024.0,37363.0,40215.0,37172.0,40720.0
174,"Roseville, CA",62291.0,71453.0,68273.0,76039.0,68208.0,69932.0,75184.0,70816.0,75153.0,80658.0,72312.0
175,"Sacramento, CA",44867.0,46055.0,49849.0,50958.0,47107.0,46731.0,47908.0,48546.0,48034.0,48829.0,52151.0
176,"Salem, OR",39259.0,42358.0,41010.0,43430.0,42035.0,42898.0,43880.0,46479.0,43436.0,49055.0,49037.0
177,"Salinas, CA",50165.0,46419.0,52560.0,50560.0,47151.0,47738.0,44387.0,50598.0,46901.0,52305.0,52334.0
178,"Salt Lake City, UT",37287.0,41710.0,43000.0,45199.0,45754.0,40219.0,41588.0,42827.0,50827.0,46711.0,48761.0
179,"San Antonio, TX",40186.0,40650.0,41593.0,42261.0,42513.0,43758.0,42613.0,45524.0,45399.0,45339.0,48869.0
