,Dropoff Location,Year,TruckingCost
434,"Phoenix, AZ",2021,2360.878977272727
435,"Phoenix, AZ",2022,2381.666590909091
436,"Phoenix, AZ",2023,2263.8701136363634
437,"Pittsburgh, PA",2005,2248.5207164179105
438,"Pittsburgh, PA",2006,2326.242895522388
439,"Pittsburgh, PA",2007,2275.6331044776116
440,"Pittsburgh, PA",2008,2038.851582089552
441,"Pittsburgh, PA",2009,1671.0268507462686
442,"Pittsburgh, PA",2010,1864.428552238806
443,"Pittsburgh, PA",2011,2005.4129701492536
444,"Pittsburgh, PA",2012,2028.9103731343284
445,"Pittsburgh, PA",2013,2009.0279552238806
446,"Pittsburgh, PA",2014,2084.942641791045
447,"Pittsburgh, PA",2015,2005.4129701492536
448,"Pittsburgh, PA",2016,1968.3593731343283
449,"Pittsburgh, PA",2017,2076.8089253731346
450,"Pittsburgh, PA",2018,2215.082104477612
451,"Pittsburgh, PA",2019,2127.4187164179107
452,"Pittsburgh, PA",2020,1962.9368955223883
453,"Pittsburgh, PA",2021,2155.4348507462687
454,"Pittsburgh, PA",2022,2174.41352238806
455,"Pittsburgh, PA",2023,2066.8677164179103
456,"Portland, OR",2005,3070.2108484848486
457,"Portland, OR",2006,3176.3354999999997
458,"Portland, OR",2007,3107.2310757575756
459,"Portland, OR",2008,2783.9210909090907
460,"Portland, OR",2009,2281.6800075757574
461,"Portland, OR",2010,2545.757628787879
462,"Portland, OR",2011,2738.2628106060606
463,"Portland, OR",2012,2770.3470075757577
464,"Portland, OR",2013,2743.198840909091
465,"Portland, OR",2014,2846.855477272727
466,"Portland, OR",2015,2738.2628106060606
467,"Portland, OR",2016,2687.6684999999998
468,"Portland, OR",2017,2835.749409090909
469,"Portland, OR",2018,3024.552568181818
470,"Portland, OR",2019,2904.8538333333336
471,"Portland, OR",2020,2680.2644545454546
472,"Portland, OR",2021,2943.108068181818
473,"Portland, OR",2022,2969.0222272727274
474,"Portland, OR",2023,2822.1753257575756
475,"Raleigh, NC",2005,2548.1832121212124
476,"Raleigh, NC",2006,2636.2635
477,"Raleigh, NC",2007,2578.9088939393937
478,"Raleigh, NC",2008,2310.5712727272726
479,"Raleigh, NC",2009,1893.7261893939394
480,"Raleigh, NC",2010,2112.90271969697
481,"Raleigh, NC",2011,2272.676265151515
482,"Raleigh, NC",2012,2299.3051893939396
483,"Raleigh, NC",2013,2276.7730227272727
484,"Raleigh, NC",2014,2362.804931818182
485,"Raleigh, NC",2015,2272.676265151515
486,"Raleigh, NC",2016,2230.6845
487,"Raleigh, NC",2017,2353.5872272727274
488,"Raleigh, NC",2018,2510.288204545455
489,"Raleigh, NC",2019,2410.9418333333338
490,"Raleigh, NC",2020,2224.5393636363638
491,"Raleigh, NC",2021,2442.6917045454543
492,"Raleigh, NC",2022,2464.199681818182
493,"Raleigh, NC",2023,2342.321143939394
494,"Sacramento, CA",2005,2879.9183125
495,"Sacramento, CA",2006,2979.465328125
496,"Sacramento, CA",2007,2914.6440156249996
497,"Sacramento, CA",2008,2611.3728749999996
498,"Sacramento, CA",2009,2140.2608359375
499,"Sacramento, CA",2010,2387.9708515625002
500,"Sacramento, CA",2011,2568.5445078125
501,"Sacramento, CA",2012,2598.6401171875
502,"Sacramento, CA",2013,2573.1746015625
503,"Sacramento, CA",2014,2670.4065703124998
504,"Sacramento, CA",2015,2568.5445078125
505,"Sacramento, CA",2016,2521.0860468749997
506,"Sacramento, CA",2017,2659.988859375
507,"Sacramento, CA",2018,2837.0899453125003
508,"Sacramento, CA",2019,2724.810171875
509,"Sacramento, CA",2020,2514.14090625
510,"Sacramento, CA",2021,2760.6933984374996
511,"Sacramento, CA",2022,2785.001390625
512,"Sacramento, CA",2023,2647.2561015625
513,"Seattle, WA",2005,3080.260625
514,"Seattle, WA",2006,3186.7326562499998
515,"Seattle, WA",2007,3117.4020312499997
516,"Seattle, WA",2008,2793.0337499999996
517,"Seattle, WA",2009,2289.1486718749998
518,"Seattle, WA",2010,2554.0907031250003
519,"Seattle, WA",2011,2747.226015625
520,"Seattle, WA",2012,2779.415234375
521,"Seattle, WA",2013,2752.178203125
522,"Seattle, WA",2014,2856.174140625
523,"Seattle, WA",2015,2747.226015625
524,"Seattle, WA",2016,2696.46609375
525,"Seattle, WA",2017,2845.03171875
526,"Seattle, WA",2018,3034.4528906250002
527,"Seattle, WA",2019,2914.36234375
528,"Seattle, WA",2020,2689.0378125
529,"Seattle, WA",2021,2952.7417968749996
530,"Seattle, WA",2022,2978.74078125
531,"Seattle, WA",2023,2831.413203125
532,"Tampa, FL",2005,2768.0393280000003
533,"Tampa, FL",2006,2863.719144
534,"Tampa, FL",2007,2801.4160079999997
535,"Tampa, FL",2008,2509.926336
536,"Tampa, FL",2009,2057.116044
