19,"Jacksonville, FL",174047.38970532382,204591.2547427237,227424.42514223768,216510.99810315645,189305.2130106391,167010.2251929382,150834.09371392196,136169.575526017,140099.70538975252,157338.64821027205,166755.05577152074,178543.6015705861,191971.50327361468,208190.54652955584,224797.2178060809,235261.84743708264,235261.84743708264,257190.49705998937,316829.11493506195,360611.4626464406
20,"Las Vegas, NV",287682.27631387225,326069.7326241235,331034.26303114876,287573.37930971367,197393.67067073585,146045.8014248165,136313.96456467817,122499.86603124876,137086.83364619748,178447.442347558,193721.41911183033,208891.39679654417,220700.2858179316,254582.0901674286,287829.4227043421,295060.3850434181,295060.3850434181,315024.5144697873,389527.0379171281,412834.1129808387
21,"Lincoln, NE",150013.24396655863,155128.80551243413,157373.94107979504,156131.3764101753,152766.97024875693,152733.11128473605,151800.3796739631,149137.5084607619,149622.864710835,153068.63421850104,157818.58549708335,168237.69560180846,177569.63813116789,187601.1332315868,198088.74103935735,207064.1380938883,207064.1380938883,225083.68591816223,252548.72240553587,271371.8235718037
22,"Los Angeles, CA",482685.07501899754,568646.3146033111,592514.7164504695,540041.9216073654,421051.676664115,405475.0640097504,391494.6966342043,370074.6468650741,401373.1615578549,471489.1669572035,507334.9245347215,500245.0718987526,535022.3992463618,601194.6727601403,660793.7225948762,670367.5063512343,670367.5063512343,735832.8196252086,838434.2386716449,873974.5320941062
23,"Memphis, TN",126389.12148592233,131612.6808933036,136456.25699245764,134213.5745000033,122717.98767619173,115172.70900453464,111071.09704419518,106706.29049155308,108248.15718336856,113545.72238184592,119393.46533464995,125148.68574185016,131018.19347719185,140846.61293892327,151951.23997043702,163454.84157160574,163454.84157160574,184610.94622041937,216338.43900354125,236680.8957699181
24,"Milwaukee, WI",201911.37012771968,218158.2030800915,221919.1376831221,220344.35584630407,203325.76139759852,197350.3886605111,185973.7366702332,173688.83203736696,174292.19179244814,183205.319130308,188381.40578371275,197624.15700747745,209055.19160272297,220097.5957804423,232240.35099214327,245693.3863021457,245693.3863021457,268874.1810175175,288431.40557267895,309214.9309064569
25,"Minneapolis, MN",238437.48990304396,251872.9559222289,252019.77731688705,241077.66358309356,214389.7325333211,203061.05625798707,192552.47992100733,174122.4587844959,190503.62725393265,211845.7195593744,221518.44525005008,236173.8602918603,251444.71104353655,268704.5596500556,284595.02293929894,297486.74103449617,297486.74103449617,322980.8560661842,356853.7244672032,367720.6468738007
26,"New Orleans, LA",172678.05958604277,189069.86931740303,205777.97522019187,210956.8692263416,200356.28940783357,196634.61083167663,192413.78755114684,185580.78781698653,186788.01036694928,189010.10264398876,195941.2893314776,205549.66027047543,209921.13226809143,212447.72107177635,213780.3052375149,228024.45386860543,228024.45386860543,243099.58170071847,265244.2373146095,262099.7501307902
27,"Omaha, NE",141894.64337536448,147507.47241024103,151858.73250696677,149156.57248129786,141249.8443689566,147027.44995937982,139988.832400208,137605.8663236321,140149.90328763562,145201.77904513633,149227.00249100232,158494.17411867031,166297.75470851146,177739.1514250255,187844.00621710028,200644.44800827897,200644.44800827897,222853.833169107,245576.2175477541,269196.6908344118
28,"Philadelphia, PA",199515.35174020875,228025.85421818795,239576.54138434285,239167.0385013781,226266.9619746527,219674.68977462765,212111.8808989101,200090.90725934436,198223.55083396935,204522.17446841064,207392.47204324015,215122.92001185767,223463.6846068884,233547.50337129633,241942.51689571785,253020.07745353153,253020.07745353153,280295.6297833898,307792.5169038761,331912.0688735273
29,"Phoenix, AZ",200405.06040396632,286482.7443987717,290097.9526438539,263124.9234273958,188846.940312373,159756.42676940953,141663.64242196394,134495.96609810958,165192.7456072611,196380.34853641735,204581.6239221508,224658.20062237556,238635.85166515305,255694.95913180316,275690.3192632547,293950.07892831665,293950.07892831665,339568.13642075605,438741.4685473857,450270.71173747256
30,"Pittsburgh, PA",108481.24552782754,113226.53024566296,115856.98198185816,118485.66545051128,117640.899683844,120418.70618046972,122541.1398078701,121071.43261729542,122996.5450955672,127490.28642963484,132416.11963727855,139115.86499296443,143746.5497864591,149782.92584776363,155290.68657787904,163497.21337459376,163497.21337459376,181728.95572869256,195295.13048303445,201647.2317339082
31,"Portland, OR",224313.2629337253,271016.156204153,305623.00865762396,309033.61589653464,279472.377913081,256840.6044002131,239948.4712153008,221911.4910860377,235544.77703812555,265062.03021897067,286777.3622696665,325885.7690134458,364017.6075126329,387261.17624780745,401369.5843347802,414925.003328099,414925.003328099,457917.10082272865,528302.3297327507,537346.0858555565
32,"Raleigh, NC",192476.6223675505,202293.96736478203,214837.58697030073,223589.2268841575,216287.7612294388,209981.76619120224,204561.25415059735,194434.98596198732,198460.7395195776,208857.6813447367,218868.4280223216,234986.17892054655,250321.72619408823,264369.14327696804,278523.7698882265,290926.0943248624,290926.0943248624,316144.7622520896,395809.69290800387,432802.01603105245
33,"Riverside, CA",301134.4663217833,364254.71795431385,387445.04880574794,339499.724599044,221431.87860348623,192071.1693617629,193359.042907715,184669.81826119707,199653.3063012988,253354.83277793543,279855.999230195,295026.542424289,303946.3409724699,351524.6703305552,370335.8817668655,383014.9707989655,383014.9707989655,426553.9974843906,519462.73159748566,550750.5772233045
34,"Sacramento, CA",370444.2367883933,432095.33133539464,406381.0528990745,350605.2567962675,271752.49017851544,242502.74479773224,229964.9443130704,207878.78417973453,229421.82640177023,290664.7370257174,311321.38103884045,338164.52446813224,365475.36284018494,397881.03615373856,415336.5278744499,431866.1568185257,431866.1568185257,477200.97289639775,565275.4166988042,563979.454652117
35,"San Antonio, TX",127827.2537120139,132724.25743951785,142522.42467999947,149282.61674126907,145537.72981707694,141557.07836275635,139639.06136125894,135933.68540105576,140376.4035828556,148713.3959367737,159338.90282043812,172554.23173911896,183136.74541865336,194252.4139173214,204108.75433785803,212916.5179568564,212916.5179568564,231321.5238364566,272758.82746810577,296208.5154089854
36,"San Diego, CA",502369.8198970768,537251.5504302244,521254.9255592029,466843.72263291274,372563.9185108673,360681.31502452533,353167.6419078862,333612.30448620516,363253.64445644413,427545.9894155576,456064.6580414667,496200.9092992732,528554.1462320677,570331.9008319303,586866.0088879333,601529.5430695994,601529.5430695994,670020.3396639079,790515.2317046891,837284.0630428614
37,"San Francisco, CA",549222.8101642615,633241.5939490227,632632.5128999256,588033.6831494531,501722.07725283894,473635.967032797,459901.0486919978,428398.6788051028,487081.2357835096,589842.4716884143,660537.6522512251,758040.8796757584,792044.9365939513,871812.5240666674,924418.9876181222,927861.2157497983,927861.2157497983,998478.2562481794,1138489.7233022775,1107589.8663163187
38,"San Jose, CA",585323.5673156788,674026.119129382,681322.4137021747,655512.5634026948,530909.4657269997,507448.8085587587,494707.66966819373,471878.04153694864,591629.3588290109,691196.7048967537,776199.2437841507,887225.1358451805,856426.2396971419,949472.0464290832,1187780.38640518,1109759.4946104104,1109759.4946104104,1215834.1556420804,1406167.457866972,1406516.3932831958
39,"Seattle, WA",299643.15281371184,352198.21291001636,398889.7747150215,405935.6889660835,357748.3020291566,323666.74870830384,297615.0726461617,266714.37445676984,271791.4001730326,306945.2879999953,328651.2629877088,369860.99047361943,411681.331586025,465920.4853724727,496868.2921456537,511502.6925761989,511502.6925761989,579514.3200008626,680797.5331213489,700059.8782471117
40,"St. Louis, MO",154215.56574589887,162930.77043207988,167711.76302485852,166027.25934236974,159003.7830351983,154007.8530787757,147942.87274961648,137981.02802014095,138095.40205890487,140680.92749580994,145095.1822489958,152134.37363792476,158597.26323880488,166315.6283521978,172768.25752468515,180081.7391600888,180081.7391600888,198627.2867403711,217124.23756017207,232806.22037989367
41,"Stockton, CA",342032.06283738586,426861.49103636225,426161.947316316,323037.8613697479,191671.1804907689,175485.68042068428,172814.513695056,156025.06305868246,175684.00591497877,232195.3891446992,261763.63752662297,290144.494668653,317881.8366593703,350203.18485267676,375285.51119512616,388769.4464412827,388769.4464412827,432133.54915594234,514784.7919322212,520529.5306074332
42,"Tampa, FL",169048.25247032347,211507.50886467085,227733.6992468868,201667.48640555592,161729.67031551842,139153.28347378114,128574.88512378924,116206.52938556384,124118.31220575485,143187.8334544939,154836.49686805205,170746.4624670928,188203.04950567623,205975.46196151897,220367.66327425872,232817.37490756504,232817.37490756504,258738.9575966956,324846.244790025,371875.54242333333
43,"Toledo, OH",109622.81138587654,112626.4568937561,113290.31274424348,108895.68737159789,104004.38946572389,99063.68528947658,95475.97263320517,91091.3717623251,91705.20033992472,96850.38641471809,100453.27597528242,108506.9126909263,112995.00662768136,120007.33677390048,126254.1765771752,133401.11927931043,133401.11927931043,149098.86110390228,158490.94412652438,169400.0341506228
44,"Tucson, AZ",174185.07201407175,226725.2392351481,235879.68025022896,223009.08064913825,191140.58020343995,171524.1348380214,156746.03982198337,136212.56484571393,153919.23960846025,167351.14424684123,172410.65188458396,178974.89550044332,188631.29976031143,201440.3284158877,214829.0591813715,231224.42374973372,231224.42374973372,261345.7536038381,318821.3061030214,338931.8228622854
45,"Tulsa, OK",119011.42851215924,122572.23661016046,126631.15575313225,128703.7256093837,128249.2978292459,128489.29244153954,126555.34595007791,122320.5958559984,124317.41652800316,127282.1576029435,132175.71273875862,133695.85526417368,142860.7490944462,144607.24582391372,151946.7261958157,161056.2011937719,161056.2011937719,179646.53508328414,205717.6060002297,223513.9866988328
46,"Washington, DC",353870.31062375807,425827.4468527352,431580.1150266503,401361.6722959774,339165.9925361583,319790.0671572357,318414.8118626578,314068.0955185042,336099.63154273556,362697.9047963016,373022.6968560163,383018.3693912023,391994.5215715683,405671.2569614439,418772.3801697959,434866.1758393873,434866.1758393873,473189.9039862644,514290.9710291868,532275.4619122789
47,"Wichita, KS",109902.90989427968,107354.06881968156,111378.1487737021,114261.77791867852,115047.3007874122,117629.0321660835,114371.62730207788,110632.66039867314,111972.28711348514,112149.5964200725,115130.54646080248,121298.5497652458,124458.5871284735,128795.6142632632,134578.07341541434,144698.97759443842,144698.97759443842,158485.93343420577,177256.37399740503,194398.31250885557
